state,city,ICAO Location Identifier,Coordinates
PR,San Juan,TJUA,18.1155998°N 66.0780644°W
ME,Houlton,KCBW,46.0391944°N 67.8066033°W
ME,Gray/Portland,KGYX,43.8913555°N 70.2565545°W
VT,Burlington,KCXX,44.5109941°N 73.166424°W
MA,Boston,KBOX,41.9558919°N 71.1369681°W
NY,Albany,KENX,42.5865699°N 74.0639877°W
NY,Binghamton,KBGM,42.1997045°N 75.9847015°W
NY,Buffalo,KBUF,42.9488055°N 78.7369108°W
NY,Montague,KTYX,43.7556319°N 75.6799918°W
NY,New York City,KOKX,40.8655093°N 72.8638548°W
DE,Dover AFB,KDOX,38.8257651°N 75.4400763°W
PA,Philadelphia,KDIX,39.9470885°N 74.4108027°W
PA,Pittsburgh,KPBZ,40.5316842°N 80.2179515°W
PA,State College,KCCX,40.9228521°N 78.0038738°W
WV,Charleston,KRLX,38.3110763°N 81.7229015°W
VA,Norfolk/Richmond,KAKQ,36.9840475°N 77.007342°W
VA,Roanoke,KFCX,37.0242098°N 80.2736664°W
VA,Sterling,KLWX,38.9753957°N 77.4778444°W
NC,Morehead City,KMHX,34.7759313°N 76.8762571°W
NC,Raleigh/Durham,KRAX,35.6654967°N 78.4897855°W
NC,Wilmington,KLTX,33.9891631°N 78.4291059°W
SC,Charleston,KCLX,32.6554866°N 81.0423124°W
SC,Columbia,KCAE,33.9487579°N 81.1184281°W
SC,Greer,KGSP,34.8833435°N 82.2200757°W
GA,Atlanta,KFFC,33.3635771°N 84.565866°W
GA,Moody AFB,KVAX,30.8903853°N 83.0019021°W
GA,Robins AFB,KJGX,32.6755239°N 83.3508575°W
FL,Eglin AFB,KEVX,30.5649908°N 85.921559°W
FL,Jacksonville,KJAX,30.4846878°N 81.7018917°W
FL,Key West,KBYX,24.5974996°N 81.7032355°W
FL,Melbourne,KMLB,28.1131808°N 80.6540988°W
FL,Miami,KAMX,25.6111275°N 80.412747°W
FL,Tallahassee,KTLH,30.397568°N 84.3289116°W
FL,Tampa,KTBW,27.7054701°N 82.40179°W
AL,Birmingham,KBMX,33.1722806°N 86.7698425°W
AL,Fort Rucker,KEOX,31.4605622°N 85.4592401°W
AL,Huntsville,KHTX,34.930508°N 86.0837388°W
AL,Maxwell AFB,KMXX,32.5366608°N 85.7897848°W
AL,Mobile,KMOB,30.6795378°N 88.2397816°W
MS,Brandon/Jackson,KDGX,32.2797358°N 89.9846309°W
MS,Columbus AFB,KGWX,33.8967796°N 88.3293915°W
TN,Knoxville/Tri Cities,KMRX,36.168538°N 83.401779°W
TN,Memphis,KNQA,35.3447802°N 89.8734534°W
TN,Nashville,KOHX,36.2472389°N 86.5625185°W
KY,Fort Campbell,KHPX,36.7368894°N 87.2854328°W
KY,Jackson,KJKL,37.590762°N 83.313039°W
KY,Louisville,KLVX,37.9753058°N 85.9438455°W
KY,Paducah,KPAH,37.0683618°N 88.7720257°W
OH,Wilmington,KILN,39.42028°N 83.82167°W
OH,Cleveland,KCLE,41.4131875°N 81.8597451°W
MI,Detroit/Pontiac,KDTX,42.6999677°N 83.471809°W
MI,Gaylord,KAPX,44.907106°N 84.719817°W
MI,Grand Rapids,KGRR,42.893872°N 85.5449206°W
MI,Marquette,KMQT,46.5311443°N 87.5487131°W
IN,Owensville (Evansville),KVWX,38.2603901°N 87.7246553°W
IN,Indianapolis,KIND,39.7074962°N 86.2803675°W
IN,North Webster,KIWX,41.3586356°N 85.7000488°W
IL,Chicago,KLOT,41.6044264°N 88.084361°W
IL,Lincoln,KILX,40.150544°N 89.336842°W
WI,Green Bay,KGRB,44.4984644°N 88.111124°W
WI,La Crosse,KARX,43.822766°N 91.1915767°W
WI,Milwaukee,KMKX,42.9678286°N 88.5506335°W
MN,Duluth,KDLH,46.8368569°N 92.2097433°W
MN,Minneapolis/St. Paul,KMPX,44.8488029°N 93.5654873°W
IA,Davenport,KDVN,41.611556°N 90.5809987°W
IA,Des Moines,KDMX,41.7311788°N 93.7229235°W
MO,Kansas City,KEAX,38.8102231°N 94.2644924°W
MO,Springfield,KSGF,37.235223°N 93.4006011°W
MO,St. Louis,KLSX,38.6986863°N 90.682877°W
AR,Fort Smith,KSRX,35.2904423°N 94.3619075°W
AR,Little Rock,KLZK,34.8365261°N 92.2621697°W
LA,Fort Polk,KPOE,31.1556923°N 92.9762596°W
LA,Lake Charles,KLCH,30.125382°N 93.2161188°W
LA,New Orleans,KLIX,30.3367133°N 89.8256618°W
LA,Shreveport,KSHV,32.450813°N 93.8412774°W
TX,Amarillo,KAMA,35.2334827°N 101.7092478°W
TX,Austin/San Antonio,KEWX,29.7039802°N 98.028506°W
TX,Brownsville,KBRO,25.9159979°N 97.4189526°W
TX,Corpus Christi,KCRP,27.7840203°N 97.511234°W
TX,Dallas/Ft. Worth,KFWS,32.5730186°N 97.3031911°W
TX,Dyess AFB,KDYX,32.5386009°N 99.2542863°W
TX,El Paso,KEPZ,31.8731115°N 106.697942°W
TX,Fort Hood,KGRK,30.7217637°N 97.3829627°W
TX,Houston/Galveston,KHGX,29.4718835°N 95.0788593°W
TX,Laughlin AFB,KDFX,29.2730823°N 100.2802312°W
TX,Lubbock,KLBB,33.6541242°N 101.814149°W
TX,Midland/Odessa,KMAF,31.9433953°N 102.1894383°W
TX,San Angelo,KSJT,31.3712815°N 100.4925227°W
OK,Frederick,KFDR,34.3620014°N 98.9766884°W
OK,Oklahoma City,KTLX,35.3333873°N 97.2778255°W
OK,Norman (Testbed),No Level III Data,35.2358°N 97.4622°W
