"year","day_of_year","hour"
"2022","209","00"
"2022","209","01"
"2022","209","02"
"2022","209","03"
"2022","209","04"
"2022","209","05"
"2022","209","06"
"2022","209","07"
"2022","209","08"
"2022","209","09"
"2022","209","10"
"2022","209","11"
"2022","209","12"
"2022","209","13"
"2022","209","14"
"2022","209","15"
"2022","209","16"
"2022","209","17"
"2022","209","18"
"2022","209","19"
"2022","209","20"
"2022","209","21"
"2022","209","22"
"2022","209","23"
"2022","210","00"
"2022","210","01"
"2022","210","02"
"2022","210","03"
"2022","210","04"
"2022","210","05"
"2022","210","06"
"2022","210","07"
"2022","210","08"
"2022","210","09"
"2022","210","10"
"2022","210","11"
"2022","210","12"
"2022","210","13"
"2022","210","14"
"2022","210","15"
"2022","213","17"
"2022","213","18"
"2022","213","19"
"2022","213","20"
"2022","213","21"
"2022","213","22"
"2022","213","23"
"2022","214","00"
"2022","214","01"
"2022","214","02"
"2022","214","03"
"2022","214","04"
"2022","214","05"
"2022","214","06"
"2022","214","07"
"2022","214","08"
"2022","214","09"
"2022","214","10"
"2022","214","11"
"2022","214","12"
"2022","214","13"
"2022","214","14"
"2022","214","15"
"2022","214","16"
"2022","214","17"
"2022","214","18"
"2022","214","19"
"2022","214","20"
"2022","214","21"
"2022","214","22"
"2022","214","23"
"2022","215","00"
"2022","215","01"
"2022","215","02"
"2022","215","03"
"2022","215","04"
"2022","215","05"
"2022","215","06"
"2022","215","07"
"2022","215","08"
"2022","215","09"
"2022","215","10"
"2022","215","11"
"2022","215","12"
"2022","215","13"
"2022","215","14"
"2022","215","15"
"2022","215","16"
"2022","215","17"
"2022","215","18"
"2022","215","19"
"2022","215","20"
"2022","215","21"
"2022","215","22"
"2022","215","23"
"2022","216","00"
"2022","216","01"
"2022","216","02"
"2022","216","03"
"2022","216","04"
"2022","216","05"
"2022","216","06"
"2022","216","07"
"2022","216","08"
"2022","216","09"
"2022","216","10"
"2022","216","11"
"2022","216","12"
"2022","216","13"
"2022","216","14"
"2022","216","15"
"2022","216","16"
"2022","216","17"
"2022","216","18"
"2022","216","19"
"2022","216","20"
"2022","216","21"
"2022","216","22"
"2022","216","23"
"2022","217","00"
"2022","217","01"
"2022","217","02"
"2022","217","03"
"2022","217","04"
"2022","217","05"
"2022","217","06"
"2022","217","07"
"2022","217","08"
"2022","217","09"
"2022","217","10"
"2022","217","11"
"2022","217","12"
"2022","217","13"
"2022","217","14"
"2022","217","15"
"2022","217","16"
"2022","217","17"
"2022","217","18"
"2022","217","19"
"2022","217","20"
"2022","217","21"
"2022","217","22"
"2022","217","23"
"2022","218","00"
"2022","218","01"
"2022","218","02"
"2022","218","03"
"2022","218","04"
"2022","218","05"
"2022","218","06"
"2022","218","07"
"2022","218","08"
"2022","218","09"
"2022","218","10"
"2022","218","11"
"2022","218","12"
"2022","218","13"
"2022","218","14"
"2022","218","15"
